Ship,Cruise,Leg,Dredge,Sample #,Sub Sample,Primary Lithology,Ave grain size,Texture,Con-tact,Glass (mm),Palag. (mm),Comments,%,Ave. Size,%,Size (mm),%,Size (mm),%,Size (mm),%,Size (mm),%,Size (mm),Igneous Fabric,Crystal Plastic Fabric,Brittle,Weight (kg),Weath-ering,Angu-larity,Mn (mm),Total Alt.,% Plag.,% Olivine,% Pyrox.,Type,Size (mm),Volu-me %,Color,Halo,,Sampled by,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,1,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,4,,Ol Pillow Basalt,0.10,Sparsely Phyric,,,,One olivine glomerocryst at edge of sample,2,1.0,0.1,1.0,1,1.0,,,,,,,0.0,0.0,0.0,0.70,M,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,5,,Ol Pillow Basalt,0.10,Sparsely Phyric,,,,,2,1.0,0.1,0.1,1,1.0,,,,,,,0.0,0.0,0.0,0.70,M,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,6,,Ol Pillow Basalt,0.10,Sparsely Phyric,,,,Plagioclase in matrix weathered <5%,0.1,2.0,,,1,1.0,,,,,,,0.0,0.0,0.0,0.50,M,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,7,,Ol Pillow Basalt,0.01,Sparsely Phyric,,,,,1,1.0,,,0.1,1.0,,,,,,,0.0,0.0,0.0,0.60,M,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,8,,Pl Pillow Basalt,0.01,Sparsely Phyric,,5.0,,,0.1,0.5,1,1.0,,,,,,,,,0.0,0.0,0.0,2.20,M,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,9,,Ol-Pl Pillow Basalt,0.01,Sparsely Phyric,,,,,2,1.0,0.1,1.0,1,0.1,,,,,,,0.0,0.0,0.0,1.10,M,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,10,,Pl-Ol Pillow Basalt,0.01,Sparsely Phyric,,,,Vesicle filled with clay,5,1.0,1,3.0,1,0.1,,,,,,,0.0,0.0,0.0,0.50,M,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,11,,Pl Pillow Basalt,0.01,Sparsely Phyric,,,,,4,1.0,1,2.0,,,,,,,,,0.0,0.0,0.0,0.50,M,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,12,,Ol Pillow Basalt,0.01,Sparsely Phyric,,,,,8,1.0,,,0.1,0.1,,,,,,,0.0,0.0,0.0,1.10,M,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,13,,Ol Pillow Basalt,0.01,Sparsely Phyric,,5.0,,Plagioclase and pyroxene glomerocrysts,4,1.0,,,1,1.0,,,,,,,0.0,0.0,0.0,0.60,M,,0.1,0,,,,,,,,,,Vincent Salters glass,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,14,,Pl Pillow Basalt,0.01,Sparsely Phyric,,,,Plagioclase and pyroxene glomerocrysts,5,1.0,0.1,1.0,,,,,,,,,0.0,0.0,0.0,0.40,M,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,15,,Pl-Ol Pillow Basalt,0.01,Sparsely Phyric,,,,Plagioclase and pyroxene glomerocrysts,3,0.5,1,0.5,0.2,0.5,,,,,,,0.0,0.0,0.0,0.20,M,,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,16,,Pl-Ol Pillow Basalt,0.01,Sparsely Phyric,,,,Plagioclase and olivine glomerocrysts,2,0.3,2,3.0,1,0.5,,,,,,,0.0,0.0,0.0,0.60,M,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,17,,Pl-Ol Pillow Basalt,0.01,Sparsely Phyric,,,,Plagioclase and olivine glomerocrysts,2,0.3,2,3.0,1,0.5,,,,,,,0.0,0.0,0.0,1.30,M,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,18,,Pillow Basalt,0.10,Aphyric,,,,Vesicles filled with clay (50%),1,0.4,,,0.5,,,,,,,,0.0,0.0,0.0,1.80,M,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,19,,Ol-Pl Pillow Basalt,0.01,Sparsely Phyric,,,,Plagioclase glomerocrysts,8,0.5,0.5,0.4,1,0.2,,,,,,,0.0,0.0,0.0,1.20,M,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,20,,Ol-Pl Pillow Basalt,0.01,Sparsely Phyric,,,,Plagioclase and pyroxene glomerocrysts,8,0.5,0.5,0.2,,0.2,,,,,,,0.0,0.0,0.0,0.40,M,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,21,,Pillow Basalt,0.01,Aphyric,,,,,10,0.5,,,,,,,,,,,0.0,0.0,0.0,0.20,M,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,22,,Pl-OL Pillow Basalt,0.01,Sparsely Phyric,,20.0,70%,Plagioclase glomerocrysts,5,0.5,1,0.5,1,0.2,,,,,,,0.0,0.0,0.0,1.30,M,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,23,,Ol-Pl Pillow Basalt,0.01,Sparsely Phyric,,,,,5,0.5,0.5,1.0,1,0.2,,,,,,,0.0,0.0,0.0,1.40,M,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,24,,Pillow Basalt,0.10,Aphyric,,,,Larger vesicles filled with clay,2,1.0,,,,,,,,,,,0.0,0.0,0.0,1.40,M,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,25,,Pillow Basalt,0.10,Aphyric,,,,,2,1.0,,,,,,,,,,,0.0,0.0,0.0,6.50,M,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,26,,Pillow Basalt,0.10,Aphyric,,,,,2,1.0,,,,,,,,,,,0.0,0.0,0.0,4.40,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,27,,Pillow Basalt,0.01,Aphyric,,,,Plagioclase glomerocrysts,1,1.0,,,,,,,,,,,0.0,0.0,0.0,2.00,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,28,,Pl Pillow Basalt,0.10,Sparsely Phyric,,1.0,,Glassy layer 1 mm thick,1,1.0,2,0.5,,,,,,,,,0.0,0.0,0.0,0.60,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,29,,Pillow Basalt,0.01,Aphyric,,,,Several olivine crystals in one corner,1,0.1,,,,,,,,,,,0.0,0.0,0.0,0.70,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,30,,Pillow Basalt,0.10,Aphyric,,,,,1,0.5,,,,,,,,,,,0.0,0.0,0.0,0.40,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,31,,Pillow Basalt,0.01,Aphyric,,,,,2,0.2,,,,,,,,,,,0.0,0.0,0.0,1.40,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,32,,Pl Pillow Basalt,0.01,Sparsely Phyric,,,,,4,0.5,1,2.0,,,,,,,,,0.0,0.0,0.0,0.60,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,33,,Pillow Basalt,0.01,Aphyric,,,,,10,0.4,,,,,,,,,,,0.0,0.0,0.0,0.70,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,34,,Pillow Basalt,0.10,Aphyric,,,,,2,0.3,,,,,,,,,,,0.0,0.0,0.0,1.30,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,35,,Pillow Basalt,0.10,Aphyric,,,,,1,0.6,,,,,,,,,,,0.0,0.0,0.0,1.60,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,36,,Pl-Ol Pillow Basalt,0.01,Sparsely Phyric,,1.0,,,2,0.5,1,0.5,1,0.0,,,,,,,0.0,0.0,0.0,3.30,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knorr,210,5,1,37,,Pl Pillow Basalt,0.20,Sparsely Phyric,,,,,4,0.5,1,0.5,,,,,,,,,0.0,0.0,0.0,16.80,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
